OBJECTID_x,ID,pH,As,Cd,Ni,Pb,Zn,Hg,slope,altitude,profile_curve,profile_c_num,profile_c_abs,planform_curve,planform_c_num,planform_c_abs,HYDGRP,HYDGRP_A,HYDGRP_B,HYDGRP_C,HYDGRP_D,ANION_EXCL,SOL_CRK,SOL_K1,CLAY1,SILT1,SAND1,ROCK1,SOL_EC1,distance
1238,KW-MH-S-34,5.04,1.79,0.11,2.6,89.93,,0,20.08950043,223.2149963,-0.760733008,0.760733008,0,2.367259979,2.367259979,1,A,1,0,0,0,0.5,0.5,48.07,6,23,71,18,0,37.15353089
1239,KW-MH-S-35,7.6,0.25,0.14,3.88,87.6,,0,0.556973994,192.0140076,0.00838094,0.00838094,1,0.00429158,0.00429158,1,A,1,0,0,0,0.5,0.5,69.32,2.9,6.4,90.7,0,0,37.74020888
1240,KW-MH-S-36,5.64,0.58,0.14,5.29,73.67,,0,13.04529953,210.3329926,1.328420043,1.328420043,1,0.158803999,0.158803999,1,B,0,1,0,0,0.5,0.5,14.89,27.9,37.4,34.7,22.8,0,37.55246471
1241,KW-MH-S-37,5.78,1.68,0.11,3.41,54.13,,0,1.073359966,187.9089966,0.031337898,0.031337898,1,-0.0133398,0.0133398,0,A,1,0,0,0,0.5,0.5,69.32,2.9,6.4,90.7,0,0,37.41232888
1242,KW-MH-CS-01,6.4,0.37,0.11,1.77,81.7,,0,25.86000061,289.5929871,-0.357535988,0.357535988,0,2.51770997,2.51770997,1,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,35.51041723
1243,KW-MH-CS-02,6.48,0.48,0.11,1.72,67.23,,0,25.86000061,289.5929871,-0.357535988,0.357535988,0,2.51770997,2.51770997,1,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,35.51041723
1244,KW-MH-CS-03,7.9,0.46,0.11,3,92.2,,0,24.67079926,313.7640076,-0.833519995,0.833519995,0,0.595068991,0.595068991,1,A,1,0,0,0,0.5,0.5,10.17,17,25,58,8,0,38.70741434
1245,GG-DMD-PS-1,5.9,1.52,0.1,0.6,,,0,8.315369606,213.2870026,-0.0113999,0.0113999,0,0.00746,0.00746,1,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.47976404
1246,GG-DMD-PS-2,5.7,1.52,0.2,2,,,0,10.47719955,188.0659943,-0.202105001,0.202105001,0,1.036599994,1.036599994,1,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.44989896
1247,GG-DMD-PS-3,5.7,1.52,0.1,1.2,,,0,9.012269974,139.3329926,1.811439991,1.811439991,1,0.107455999,0.107455999,1,A,1,0,0,0,0.5,0.5,15.93,15,48,37,28,0,43.10995406
1248,GG-DMD-S-1,6.2,1.17,0.03,0.74,,,0,33.81560135,419.7369995,0.045325398,0.045325398,1,-1.830279946,1.830279946,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.80780382
1249,GG-DMD-S-2,5.45,2.77,0.04,2.08,,,0,34.6371994,407.4639893,0.511079013,0.511079013,1,-1.831449986,1.831449986,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.80561892
1250,GG-DMD-S-3,3.91,3.81,0.02,6.77,,,0,31.61179924,393.8320007,0.964971006,0.964971006,1,-0.643427014,0.643427014,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.76917365
1251,GG-DMD-S-4,4.21,2.24,0.585,3.16,,,0,26.38839912,379.0069885,-0.471792996,0.471792996,0,-2.23229003,2.23229003,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.77647746
1252,GG-DMD-S-5,5,2.47,0.165,1.94,,,0,27.01910019,372.2999878,0.722432017,0.722432017,1,-1.744120002,1.744120002,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.77061543
1253,GG-DMD-S-6,4.86,1.13,0.095,1.67,,,0,28.21500015,362.5230103,0.296211004,0.296211004,1,-1.318050027,1.318050027,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.76368623
1254,GG-DMD-S-7,6.06,2.17,0.915,3.76,,,0,17.28300095,348.5899963,1.656710029,1.656710029,1,-0.680207014,0.680207014,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.75570853
1255,GG-DMD-S-8,6.07,0.92,1.215,1.1,,,0,17.28300095,348.5899963,1.656710029,1.656710029,1,-0.680207014,0.680207014,0,B,0,1,0,0,0.5,0.5,65.01,24.8,58,17.2,35.8,0,44.75570853
