,As_value,As_real_value,Lon,Lan
0,3.307374082,1.06,128.0932222,37.2805
1,1.920562963,1.06,128.0891389,37.27913889
2,1.672941448,1.06,128.0829444,37.27169444
3,0.966301508,0.25,128.1160556,37.28077778
4,1.383530081,3.64,128.1156111,37.28080556
5,0.859117124,0.94,128.0982778,37.28083333
6,0.924396911,1.68,128.0976944,37.28108333
7,1.087853294,1.25,128.0976944,37.28108333
8,1.400596897,0.37,128.0961944,37.28141667
9,1.588877402,1.57,128.0958056,37.28194444
10,1.582059101,1.47,128.0958056,37.28194444
11,0.971304639,0.48,128.0953056,37.28197222
12,1.199965221,0.8,128.0951111,37.28155556
13,1.779821145,1.62,128.0946667,37.28172222
14,0.617529399,0.68,128.0949722,37.28205556
15,1.487195511,0.89,128.0943611,37.28186111
16,1.214283835,1.47,128.0939444,37.28194444
17,1.183725943,1.47,128.0936111,37.28202778
18,1.209221201,1.26,128.0936111,37.28202778
19,1.744199584,0.78,128.0933056,37.28222222
20,0.836292496,0.63,128.0929444,37.28225
21,1.652443193,0.26,128.0931944,37.28058333
22,1.321014294,0.52,128.0920556,37.28025
23,1.809722288,0.38,128.0920556,37.28025
24,1.394607105,1.24,128.0909444,37.28027778
25,1.539999951,0.75,128.0909444,37.28027778
26,1.648286414,0.99,128.0901111,37.28002778
27,1.190821631,1.36,128.0892222,37.27961111
28,1.099965221,0.6,128.0880833,37.27836111
29,0.836292496,0.64,128.0876667,37.27658333
30,2.010544534,1.68,128.0858611,37.27541667
31,1.574866565,0.36,128.0836389,37.27261111
32,1.276108721,1.56,128.0832222,37.27027778
33,1.438375904,0.58,128.0863056,37.26052778
34,1.415131516,1.75,128.0848056,37.25452778
35,1.13382683,0.59,128.0855278,37.24858333
36,0.899877145,1.56,128.0923333,37.27355556
37,1.314564911,0.75,128.0923333,37.27355556
38,1.530778429,0.46,128.0886389,37.25413889
