,OBJECTID_x,ID,Lon,Lan,pH,As,Cd,Ni,Pb,Zn,Hg,lon_degree,lon_minute,lon_sec,lan_degree,lan_minute,lan_sec,slope,hankang1,profile_cu,planform_c,SOILSY,SNAME,hsg,HSG_CODE,OBJECTID_y,MUID,CMPPCT,HYDGRP,ANION_EXCL,SOL_CRK,SOL_K1,CLAY1,SILT1,SAND1,ROCK1,SOL_EC1
0,1,KW-SK-S-36,128.7810556,37.11447222,7.63,17.46,0.48,1.65,91.1, ,0,128,46,51.8,37,6,52.1,36.89619827,582.572998,-0.692999005,-1.524299979,DbF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
1,2,KW-SK-S-37,128.7740833,37.11319444,5.25,1.25,0.05,0.34,58.77, ,0,128,46,26.7,37,6,47.5,28.0258007,466.6929932,-1.273249984,-0.247492,OsE2,OESAN,B,2,423,KOREA,1,A,0.5,0.5,15.93,15,48,37,28,0
2,3,KW-SK-S-66,128.789,37.11986111,7.72,1.39,0.07,0.59,92.43, ,0,128,47,20.4,37,7,11.5,32.65919876,679.6209717,-2.430609941,-1.368109941,DbF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
3,4,KW-SK-CS-03,128.8464444,37.11238889,8.41,6.07,0.105,1.14,2.75, ,0,128,50,47.2,37,6,44.6,27.92749977,641.1749878,0.160844997,0.215775996,SmE2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
4,5,KW-YH-PS-01,129.1384167,37.10244444,8.3,32.7,3.7,1.1,"4,700", ,0,129,8,18.3,37,6,8.8,36.87269974,379.4519958,-0.472368985,1.532760024,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
5,6,KW-YH-PS-02,129.1470833,37.10375,8.4,12.5,2.3,2,956, ,0,129,8,49.5,37,6,13.5,43.76350021,378.8850098,-1.358700037,1.36432004,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
6,7,KW-YH-PS-03,129.1557222,37.11155556,7.6,4.7,1.2,6.7,260, ,0,129,9,20.6,37,6,41.6,38.02370071,304.822998,-1.466279984,4.209259987,DpF2,DEOGSAN,A,1,255,KOREA,1,B,0.5,0.5,43.15,6,45,50,58,0
7,8,KW-YH-S-01,129.1069444,37.11422222,8.14,2.47,1.06,5.86,507.33, ,0,129,6,25,37,6,51.2,22.14660072,584.1069946,-0.155983001,5.039330006,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
8,9,KW-YH-S-02,129.1132778,37.11477778,8.04,1.62,7.125,53.72,"3,757.93", ,0,129,6,47.8,37,6,53.2,29.69869995,423.1730042,3.721359968,-2.825150013,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
9,10,KW-YH-S-03,129.114,37.11480556,7.94,1.38,2.55,2.85,"5,615.93", ,0,129,6,50.4,37,6,53.3,39.28730011,441.4020081,0.120912999,0.00396975,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
10,11,KW-YH-S-04,129.1137778,37.11297222,7.55,1.58,21.005,29.5,"13,639.12", ,0,129,6,49.6,37,6,46.7,35.66949844,432.7609863,-1.360780001,0.585264981,SqE,SEONGIN,B,2,368,KOREA,1,A,0.5,0.5,37.65,27.2,42.2,30.6,0,0
11,12,KW-YH-S-05,129.1004444,37.11330556,7.38,4.42,41.785,44.87,"21,585.88", ,0,129,6,1.6,37,6,47.9,41.19520187,677.9689941,-0.154017001,0.265904993,SmF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
12,13,KW-YH-S-06,129.1113056,37.10536111,3.99,3.47,4.865,34.18,"1,346.97", ,0,129,6,40.7,37,6,19.3,39.70859909,790.7940063,-0.070248298,0.27472201,SvF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
13,14,KW-YH-S-07,129.1113056,37.10536111,5.36,1.24,0.625,17.26,946, ,0,129,6,40.7,37,6,19.3,39.70859909,790.7940063,-0.070248298,0.27472201,SvF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
14,15,KW-YH-S-08,129.1121667,37.10638889,7.69,1.35,8.12,17.13,"3,925.86", ,0,129,6,43.8,37,6,23,43.86460114,757.6370239,0.312067002,0.38042599,SvF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
15,16,KW-YH-S-09,129.1130278,37.10813889,7.34,0.74,27.865,46.18,"11,591.26", ,0,129,6,46.9,37,6,29.3,41.43870163,706.7860107,0.262201995,0.856684983,SvF2,SAMGAG,A,1,360,KOREA,1,A,0.5,0.5,25.77,10,30,60,11,0
