Ni_pred,Ni_real,Lon,Lan
1.291141711,1.456286733,128.8501389,37.46913889
0.88517914,0.727548607,127.7511944,37.42491667
1.118641815,0.90016135,127.7468889,37.42747222
1.846303176,1.560247668,127.5193056,37.81447222
2.008531207,1.504077397,127.4929722,37.739
1.999282074,1.835776355,126.8899722,37.18352778
3.238469257,3.318902139,128.0796667,37.82830556
0.997414531,1.196948189,127.7686944,37.51105556
1.972453074,2.020222182,127.3047222,37.17327778
1.640079657,0.722705983,127.3963056,37.79019444
2.168818079,2.714694744,129.14075,37.10311111
2.862098187,2.950211758,127.7826389,37.4285
1.493392878,1.004301609,127.7701944,37.42513889
1.767237162,1.961502244,129.1518889,37.10755556
3.123336479,4.131961426,127.4931667,37.79955556
0.659240815,0.019802627,127.7886111,37.52833333
1.502280916,1.340250423,127.4019444,37.80002778
3.081640704,2.856470206,126.8971667,37.18394444
0.860300066,0.604315967,128.0836389,37.27261111
1.193065263,1.241268589,128.8502222,37.46944444
1.802929155,1.088561953,127.7723611,37.42516667
3.814876363,4.334672938,129.1574722,37.114
3.543161255,3.555348061,127.7585278,37.51369444
0.295224608,0,127.4885,37.80038889
2.56112287,3.148453361,128.8560556,37.46755556
3.415136034,3.355153443,128.8692222,37.40586111
1.551415932,1.095273387,127.4835556,37.79786111
1.463161131,1.568615918,128.8465833,37.28116667
3.288817806,2.950211758,128.8652778,37.47761111
0.452104846,0,127.7248333,37.43436111
1.498246788,1.86872051,127.7263889,37.43341667
2.683930898,2.753660712,127.7819444,37.42813889
0.805591853,0.470003629,128.8067222,37.12555556
2.503359604,1.945910149,129.1664167,37.11816667
2.98546455,4.002229273,129.1069444,37.11422222
0.745570964,0.717839793,127.40125,37.80230556
0.944452741,0.652325186,128.0953056,37.28197222
1.314717192,1.597365331,127.4793889,37.41588889
1.324796975,1.444563269,128.2741111,37.38275
3.097602469,3.287281858,128.7590556,37.37166667
0.660725357,0,128.275,37.36902778
2.685489249,3.306886702,127.7713056,37.42852778
0.738879615,0,127.7878889,37.53127778
1.524817498,1.545432582,128.7930556,37.37455556
1.763822579,1.91102289,127.4801944,37.42038889
3.416721786,3.442978916,126.8913333,37.18275
1.552861208,0.536493371,127.7635278,37.51233333
1.00486795,0,127.7891111,37.52755556
1.121923808,2.024193067,127.7398611,37.43327778
2.018773114,1.763017,127.4789444,37.41894444
0.923798515,0,127.76975,37.42586111
1.80181202,1.631199404,127.3014722,37.17286111
0.89542623,0.300104592,128.7990556,37.12680556
2.452237427,2.756205243,127.7651944,37.41116667
1.96522173,1.381281819,127.4795,37.41522222
1.69828458,1.86872051,126.8755556,37.18066667
3.155901345,3.405521353,128.0625833,37.79997222
3.263800797,3.307985,127.4969167,37.80144444
3.141162633,3.069447311,127.7612222,37.51327778
1.509708575,1.678963975,127.4928333,37.73961111
2.180498704,2.403334996,128.1003611,37.79733333
2.001273128,1.427916036,127.4792222,37.41802778
0.952190329,0.858661619,128.8430833,37.28516667
2.425971014,2.928523524,127.7724722,37.42508333
0.904760391,0.198850859,127.3102778,37.182
1.703332577,1.91839212,127.3018889,37.17241667
2.79175465,3.937105786,128.0837778,37.82497222
1.818486661,1.413423029,127.7263889,37.43341667
0.947306749,1.00063188,128.0920556,37.28025
1.504407613,1.78339122,127.723,37.43394444
1.091126926,1.172482137,127.4783889,37.41725
3.241832872,3.908617212,127.7558611,37.51827778
2.804901336,2.470638678,126.8963611,37.18488889
1.446147443,1.859418118,128.8601944,37.47066667
1.259800476,1.413423029,127.723,37.43394444
1.465975362,1.619388243,128.7945833,37.12372222
1.316766938,1.241268589,127.7663333,37.42261111
1.265464661,1.2753628,128.7931944,37.37377778
1.095068129,1.211940974,127.4791389,37.41616667
1.313115473,1.147402453,127.3025,37.17013889
1.087470072,1.184789985,128.2730833,37.38075
1.132932195,1.316408234,128.8103889,37.13111111
3.986193221,4.354655438,126.8908889,37.18236111
0.759084787,0.667829373,127.4022778,37.78288889
2.936095104,2.886475288,128.2732222,37.37652778
1.17999581,0.329303747,128.0855278,37.24858333
1.215367683,0.936093359,128.8700833,37.39588889
2.263264025,3.169685581,128.2730833,37.37916667
3.18788373,3.261935314,128.0819444,37.82755556
2.998835537,3.792563565,128.8644722,37.28119444
3.444077855,3.176803048,127.7577778,37.51544444
1.121243273,0.732367894,127.4757222,37.41927778
1.419060405,1.53686722,128.8121111,37.13044444
2.924905564,2.930126516,127.7565556,37.52463889
1.184197348,1.156881197,127.4017222,37.80122222
3.309933548,3.501645853,128.7793611,37.37352778
2.434209935,0.231111721,127.3980278,37.78941667
2.976626185,3.283539338,127.7655278,37.5115
2.379500276,2.916147794,128.8587222,37.27702778
3.402864431,3.264613717,128.8560556,37.46755556
3.275656266,3.73289634,128.0845833,37.82372222
1.173041427,0,127.7876944,37.53027778
1.429692643,1.749199855,128.8526667,37.46827778
1.484034469,1.743968805,127.4921111,37.74052778
1.53890737,1.826160896,128.7914444,37.375
1.394033958,1.156881197,128.8455833,37.28302778
3.269657918,3.599228232,128.7558611,37.36958333
0.83534223,0,128.8008056,37.12597222
0.803899667,0.536493371,127.4768333,37.41897222
1.278242103,1.01884732,128.2736667,37.38486111
3.356032267,3.374511116,128.8751944,37.39661111
2.907761768,3.064791809,128.8610833,37.46702778
0.806671103,0,127.3996111,37.79708333
1.533235876,1.631199404,128.7928611,37.37388889
1.816289365,1.781709133,127.2983333,37.17138889
3.52127291,3.844386357,126.8897778,37.18202778
2.242820392,2.655352412,127.7756389,37.42527778
1.203424317,0,128.7975833,37.12608333
1.488654566,1.305626458,128.8637778,37.27936111
1.280566559,1.121677562,128.8732222,37.39688889
3.419448107,3.532810268,126.896,37.18425
1.177189032,1.205970807,127.4823611,37.42336111
2.479132269,2.727852828,127.7756389,37.42527778
2.884219804,3.095125017,127.7657778,37.40133333
1.334959192,0.810930216,127.4808889,37.41941667
1.575703078,2.013568798,127.4929722,37.739
2.656875935,3.529883723,129.1511944,37.10752778
1.360174281,1.324418957,127.4908889,37.74341667
1.855660679,1.848454813,126.8848056,37.18227778
1.520011434,1.617406082,127.3045833,37.17505556
1.878446863,1.987874348,126.8755556,37.18066667
1.787565575,1.393766376,128.0967778,37.80697222
2.690505472,3.064791809,127.7735,37.42491667
1.359965198,1.184789985,129.1596111,37.12222222
3.369978642,3.258865473,128.0795556,37.82908333
3.387309812,3.529297384,129.1664167,37.11816667
0.921938199,1.16315081,128.8731667,37.39483333
1.613553005,1.481604541,128.8771667,37.397
3.139247425,3.343921314,127.3966389,37.76438889
2.349041605,0.832909123,127.7591944,37.51363889
1.329481215,1.44926916,128.8121111,37.13044444
1.802640244,2.518502599,128.2739167,37.38430556
2.455274802,3.114847754,128.2755556,37.365
2.849429733,4.079907514,128.0982778,37.28083333
1.635104562,1.272565596,126.8786667,37.18380556
3.054533496,3.058707073,129.1508611,37.10875
1.99739205,1.941615225,128.1003611,37.79855556
1.183431134,1.327075001,128.7925556,37.37411111
2.654775167,3.47537678,128.8704722,37.40469444
0.564668823,0.336472237,127.4015833,37.79988889
3.429544272,3.743604354,126.8906944,37.18219444
1.865894421,1.940179474,128.8070278,37.12511111
2.745618518,3.050693832,128.8626944,37.2795
2.203140127,2.374905755,127.7666111,37.42086111
2.299888408,1.838961071,127.3987222,37.79616667
1.237363101,0.231111721,127.4938611,37.73797222
0.775003021,0.652325186,127.4789444,37.41863889
3.19141234,3.962145615,128.7874167,37.37325
1.643824555,1.291983682,128.8579444,37.46772222
1.139809872,1.078409581,127.4788056,37.42102778
2.306397142,3.17971911,127.7808889,37.42597222
1.32466242,1.682688374,127.4940833,37.80080556
0.517392413,0,127.3987778,37.79508333
3.496246064,3.840097266,126.8966111,37.18513889
1.724849294,1.515127233,126.8848056,37.18227778
0.973730086,0.746687947,128.8538889,37.28294444
1.341959726,1.673351238,128.8697222,37.3965
3.076293144,3.185112195,128.8623333,37.27952778
2.507397648,2.937043277,127.7810278,37.42663889
0.755712094,0.322083499,127.4888889,37.43038889
1.177500748,1.036736885,127.4929722,37.79897222
3.426994541,3.467297183,127.7561667,37.51980556
1.23758614,1.515127233,127.7273056,37.43311111
2.609474411,2.424802726,128.0805278,37.82816667
1.295485328,1.495148766,127.49975,37.73605556
1.350897895,1.427916036,128.7779167,37.37308333
1.850002613,1.845300236,129.1554722,37.11147222
3.400594235,3.27336401,127.4896389,37.79708333
2.798482091,3.017004409,127.4885556,37.42077778
3.463063094,3.370738174,127.7885556,37.52572222
1.387607721,0.936093359,127.4946111,37.73758333
1.793568743,2.514465452,128.7907222,37.37461111
3.706941309,3.75490125,126.8658056,37.17038889
1.672114017,0.955511445,127.4907778,37.74194444
1.308117496,1.605429891,128.2741111,37.38275
3.578812644,3.936325298,128.8744167,37.39463889
1.333856217,1.766441661,127.3006111,37.17261111
0.864792039,0,128.8083056,37.12786111
1.49885632,0.916290732,128.8739167,37.39655556
2.701701236,3.07130346,127.7731667,37.42516667
1.612604907,0.966983846,128.7933611,37.37355556
1.36913335,1.613429934,128.8075278,37.12675
1.267343348,1.515127233,127.4794444,37.41569444
3.298468934,3.298426104,127.4915833,37.80086111
