iter	RMSE
175	1.094410769
176	1.094208918
177	1.094042661
178	1.093865438
179	1.093687687
180	1.09351953
181	1.093355581
182	1.093175106
183	1.092988007
184	1.092794521
185	1.092639728
186	1.092436941
187	1.092250573
188	1.092002637
189	1.091760501
190	1.091551077
191	1.091389745
192	1.091213884
193	1.091011455
194	1.09084242
195	1.090628327
196	1.09045062
197	1.09028219
198	1.090095022
199	1.089941813
200	1.089751784
201	1.089575919
202	1.089400003
203	1.089243858
204	1.0890496
205	1.088866408
206	1.088663913
207	1.088481469
208	1.088344186
209	1.088146105
210	1.087956713
211	1.087791759
212	1.08760768
213	1.08742149
214	1.087267986
215	1.087085896
216	1.086938564
217	1.086801046
218	1.086669444
219	1.086509772
220	1.086346913
221	1.086208222
222	1.086027909
223	1.085855994
224	1.085688073
225	1.085500029
226	1.085348275
227	1.085118484
228	1.084933611
229	1.08476214
230	1.084563643
231	1.084383709
232	1.084198279
233	1.084017353
234	1.083863317
235	1.083672799
236	1.083478908
237	1.083346748
238	1.083162716
239	1.082974562
240	1.082835477
241	1.082675825
242	1.082506744
243	1.082385198
244	1.082250856
245	1.082078739
246	1.081897697
247	1.081707836
248	1.081555265
249	1.081365859
250	1.081223537
251	1.08103437
252	1.080840954
253	1.080671999
254	1.080531219
255	1.080336469
256	1.080184304
257	1.079972492
258	1.0798171
259	1.079696355
260	1.079541619
261	1.079389327
262	1.079223714
263	1.079029798
264	1.078862108
265	1.078716768
266	1.078577084
267	1.078400195
268	1.078214823
269	1.078039363
270	1.077825556
271	1.077644172
272	1.077437821
273	1.077288465
274	1.07715587
275	1.076982745
276	1.076794947
277	1.076654454
278	1.076514509
279	1.076341806
280	1.076201989
281	1.076022297
282	1.075839736
283	1.075686294
284	1.075516927
285	1.075382351
286	1.075211778
287	1.075023146
288	1.074883721
289	1.074703379
290	1.074541339
291	1.074373708
292	1.074199193
293	1.074075869
294	1.073882508
295	1.073742048
296	1.073614172
297	1.073441721
298	1.073252608
299	1.073071254
300	1.072892909
301	1.072746886
302	1.072550007
303	1.072374351
304	1.07221278
305	1.072054012
306	1.071897341
307	1.071718667
308	1.071567574
309	1.071368761
310	1.071203581
311	1.071034563
312	1.0708729
313	1.070706046
314	1.070545708
315	1.070403725
316	1.070267924
317	1.070062635
318	1.06991191
319	1.06980134
320	1.069612446
321	1.069463862
322	1.069341775
323	1.069202984
324	1.069050572
325	1.068895704
326	1.068719252
327	1.068566674
328	1.068407791
329	1.068253485
330	1.068119461
331	1.067972363
332	1.067780377
333	1.067629675
334	1.067484812
335	1.067317085
336	1.06715461
337	1.067013192
338	1.066840552
339	1.066674534
340	1.066508993
341	1.066365563
342	1.066240666
343	1.066068421
344	1.065907486
345	1.065731087
346	1.065547891
347	1.065399531
348	1.065220062
349	1.065099256
350	1.064930731
351	1.064785962
352	1.06461179
353	1.064452248
354	1.064253995
355	1.064084456
356	1.063952009
357	1.063769265
358	1.063629899
359	1.063445133
360	1.063278405
361	1.063111316
362	1.062963018
363	1.06274613
364	1.062589134
365	1.062419951
366	1.062270712
367	1.062100936
368	1.061950693
369	1.061757324
370	1.061604247
371	1.061425738
372	1.061303443
373	1.061179138
374	1.061006056
375	1.060853584
376	1.060685028
377	1.060497857
378	1.060369315
379	1.060241335
380	1.060113094
381	1.059983705
382	1.059847
383	1.059694819
384	1.059545707
385	1.05940931
386	1.059306837
387	1.059115201
388	1.058996
389	1.058870288
390	1.058715254
391	1.058561309
392	1.058443025
393	1.058332278
394	1.05820169
395	1.058057678
396	1.057941044
397	1.057820106
398	1.057639397
399	1.057512047
400	1.057392138
401	1.057258519
402	1.057102948
403	1.056960775
404	1.056828965
405	1.056652584
406	1.056513208
407	1.056401088
408	1.056199034
409	1.056033756
410	1.055881186
411	1.055767636
412	1.055620017
413	1.055448948
414	1.055290939
415	1.055144435
416	1.054964285
417	1.05481852
418	1.054711947
419	1.054549764
420	1.054416842
421	1.054260609
422	1.054093113
423	1.053960379
424	1.053833068
425	1.053685782
426	1.053523748
427	1.05338451
428	1.053233845
429	1.053094016
430	1.052937263
431	1.052791507
432	1.052644937
433	1.052542707
434	1.052364423
435	1.052221158
436	1.052066528
437	1.051909846
438	1.05176379
439	1.051637764
440	1.051505063
441	1.051352816
442	1.051222357
443	1.051104913
444	1.050968046
445	1.050811878
446	1.050656637
447	1.050514148
448	1.050330819
449	1.050153335
450	1.049974197
451	1.049863695
452	1.049715162
453	1.049576834
454	1.049449986
455	1.049334686
456	1.049231456
457	1.049057989
458	1.048941662
459	1.04881579
460	1.048675229
461	1.048539468
462	1.048391172
463	1.048271905
464	1.048152905
465	1.048032615
466	1.047864768
467	1.047729035
468	1.047591844
469	1.047444547
470	1.047314804
471	1.047130359
472	1.046966844
473	1.046772176
474	1.046575958
475	1.046500183
476	1.046378479
477	1.046255062
478	1.046108782
479	1.045964007
480	1.045829293
481	1.045712784
482	1.045578121
483	1.04546905
484	1.045308004
485	1.045170839
486	1.045025296
487	1.044890016
488	1.04479183
489	1.044673446
490	1.044558298
491	1.044445463
492	1.044341451
493	1.044187161
494	1.044039286
495	1.043936382
496	1.043809425
497	1.043653409
498	1.043499048
499	1.043368083
500	1.043266826
501	1.043106074
502	1.042974
503	1.042842065
504	1.042681155
505	1.042567014
506	1.042440923
507	1.042333796
508	1.042188311
509	1.042047458
510	1.041921468
511	1.04180383
512	1.041666792
513	1.041541521
514	1.041348199
515	1.041220453
516	1.041107204
517	1.040974464
518	1.040852474
519	1.040676375
520	1.040540618
521	1.04039463
522	1.040253074
523	1.040126832
524	1.040011865
525	1.039883506
526	1.03975962
527	1.039660287
528	1.039516936
529	1.039387031
530	1.039271097
531	1.03913289
532	1.039005632
533	1.038892715
534	1.03878772
535	1.038649261
536	1.038512359
537	1.038402953
538	1.038215017
539	1.038070138
540	1.037977654
541	1.037859487
542	1.037676671
543	1.037582756
544	1.037470699
545	1.037372954
546	1.03723415
547	1.03713211
548	1.036996806
549	1.03688054
550	1.036763385
551	1.036608287
552	1.03645924
553	1.036284615
554	1.036182551
555	1.036020549
556	1.035931027
557	1.035763754
558	1.035657752
559	1.035563326
560	1.035428445
561	1.035302548
562	1.035155947
563	1.034977521
564	1.034882672
565	1.034737644
566	1.0345609
567	1.034441558
568	1.034314777
569	1.034161303
570	1.034090485
571	1.033983659
572	1.033870277
573	1.033750438
574	1.033629871
575	1.033554975
576	1.03343429
577	1.033305655
578	1.033186306
579	1.033063359
580	1.032933684
581	1.032817372
582	1.032670019
583	1.032557097
584	1.032395507
585	1.032263498
586	1.032135267
587	1.032023949
588	1.031903943
589	1.031825697
590	1.031684001
591	1.031591782
592	1.031459118
593	1.031331467
594	1.031211144
595	1.031067105
596	1.030955299
597	1.030845079
598	1.030714745
599	1.030603134
600	1.030461417
601	1.030321181
602	1.030193326
603	1.03006623
604	1.029920509
605	1.029766954
606	1.029658938
607	1.029558466
608	1.02942277
609	1.029313699
610	1.029172547
611	1.02905497
612	1.028946078
613	1.028844168
614	1.028757084
615	1.028647979
616	1.028519684
617	1.028380144
618	1.028259202
619	1.028140733
620	1.028028044
621	1.027945914
622	1.027812451
623	1.027672096
624	1.027541539
625	1.027391399
626	1.027291784
627	1.02717708
628	1.027059448
629	1.026955419
630	1.026843426
631	1.026741801
632	1.026578593
633	1.026444499
634	1.026319562
635	1.02620253
636	1.026048782
637	1.02592899
638	1.025788678
639	1.025693702
640	1.025577759
641	1.025467128
642	1.025333616
643	1.02523555
644	1.02512024
645	1.025005338
646	1.024898332
647	1.024805944
648	1.024649661
649	1.02447294
650	1.024376177
651	1.024243048
652	1.024145129
653	1.024031194
654	1.023915953
655	1.023811298
656	1.023723855
657	1.023598709
658	1.023472774
659	1.023341324
660	1.023220237
661	1.02306751
662	1.022958043
663	1.022809639
664	1.022687048
665	1.022604055
666	1.02252058
667	1.022410665
668	1.022310699
669	1.022182716
670	1.022058063
671	1.021920633
672	1.021807313
673	1.021654186
674	1.021542146
675	1.021436455
676	1.021325839
677	1.021206431
678	1.021080148
679	1.020913919
680	1.020787342
681	1.020681935
682	1.020552979
683	1.02042873
684	1.020303268
685	1.020163781
686	1.020044575
687	1.019913383
688	1.019810771
689	1.01969564
690	1.019566374
691	1.019459887
692	1.019351489
693	1.019258421
694	1.019158922
695	1.019053344
696	1.018956108
697	1.018838875
698	1.018731317
699	1.018596913
700	1.018490446
701	1.018398707
702	1.018277077
703	1.018127062
704	1.017980674
705	1.017867875
706	1.017762341
707	1.017683409
708	1.01759435
709	1.017465841
710	1.017379366
711	1.01728438
712	1.017155899
713	1.017037666
714	1.01694397
715	1.01684858
716	1.01675531
717	1.016603859
718	1.016511475
719	1.016374078
720	1.016275258
721	1.016181256
722	1.016070516
723	1.015960653
724	1.015830966
725	1.015718475
726	1.01561925
727	1.015487907
728	1.015384955
729	1.015288002
730	1.015184056
731	1.015082007
732	1.014955687
733	1.014832699
734	1.014710409
735	1.014620783
736	1.014506896
737	1.014390938
738	1.014274873
739	1.014131985
740	1.014015461
741	1.013874289
742	1.013747118
743	1.013593373
744	1.013457528
745	1.0133543
746	1.013284113
747	1.013185371
748	1.013087193
749	1.012983879
750	1.012894052
751	1.012770419
752	1.012649004
753	1.012516868
754	1.012395972
755	1.012287354
756	1.012176548
757	1.012058469
758	1.01189097
759	1.011773547
760	1.01161091
761	1.011519805
762	1.011420105
763	1.011324788
764	1.011215573
765	1.011099226
766	1.011002788
767	1.010916867
768	1.010846006
769	1.01074125
770	1.010620366
771	1.010506335
772	1.010406321
773	1.010277731
774	1.01013703
775	1.010021881
776	1.009874778
777	1.009768281
778	1.00965813
779	1.009526703
780	1.00942139
781	1.009307169
782	1.009179164
783	1.009039645
784	1.008935459
785	1.008835996
786	1.008708638
787	1.008602431
788	1.008508453
789	1.008389483
790	1.008274583
791	1.008139605
792	1.008016674
793	1.007920123
794	1.00775666
795	1.007663462
796	1.007541811
797	1.007405488
798	1.007287014
799	1.007188497
800	1.007073815
801	1.00695947
802	1.006857555
803	1.006757138
804	1.006668099
805	1.00659281
806	1.00647555
807	1.006416576
808	1.006291916
809	1.006176484
810	1.006092503
811	1.005978255
812	1.005872792
813	1.005781557
814	1.005667045
815	1.005534431
816	1.005441431
817	1.005308356
818	1.005221924
819	1.005125629
820	1.005026817
821	1.004891686
822	1.004824363
823	1.00468231
824	1.004604262
825	1.004509525
826	1.004410595
827	1.004249564
828	1.004147733
829	1.004061736
830	1.00399661
831	1.003912122
832	1.003819193
833	1.003698474
834	1.003612146
835	1.003512505
836	1.003416194
837	1.003286318
838	1.003192589
839	1.003077309
840	1.002993589
841	1.002857645
842	1.002752559
843	1.002654354
844	1.002576705
845	1.00247727
846	1.002376318
847	1.002266393
848	1.002195437
849	1.002108252
850	1.002027853
851	1.001932302
852	1.001826324
853	1.001698951
854	1.001600493
855	1.001501356
856	1.00138862
857	1.001299414
858	1.001193366
859	1.00107599
860	1.000944793
861	1.000854457
862	1.000768652
863	1.000646509
864	1.000544123
865	1.000467946
866	1.000371156
867	1.00025203
868	1.000173133
869	1.000067943
870	0.9999649338
871	0.9998404375
872	0.9997535241
873	0.9996198548
874	0.9995416858
875	0.999395599
876	0.9992930528
877	0.9991789682
878	0.9990853097
879	0.9989862277
880	0.9988940056
881	0.9987926573
882	0.9986885639
883	0.9985911644
884	0.9984253134
885	0.9983275286
886	0.9981792513
887	0.9980775331
888	0.9979826995
889	0.997915836
890	0.9978512871
891	0.9977422405
892	0.9976525555
893	0.9975378574
894	0.9974553679
895	0.9973707872
896	0.9972653671
897	0.9971672515
898	0.9970579027
899	0.9969696335
900	0.9968567398
901	0.9967251772
902	0.9966307212
903	0.9965404678
904	0.9964274703
905	0.9963219305
906	0.9962068009
907	0.9960579668
908	0.9959705934
909	0.9958848946
910	0.9957325948
911	0.9956155155
912	0.995517336
913	0.9954163768
914	0.9952610014
915	0.9951647007
916	0.9950736865
917	0.9949917568
918	0.9948837347
919	0.9947811064
920	0.9946763903
921	0.9945628774
922	0.9944656508
923	0.9943660809
924	0.9942998416
925	0.9942108029
926	0.994128426
927	0.9940255375
928	0.9939526892
929	0.9938683786
930	0.9937763067
931	0.9936702221
932	0.9935656081
933	0.9934803681
934	0.9933734552
935	0.9932928325
936	0.9932185643
937	0.9930977308
938	0.9930153731
939	0.9929107641
940	0.9928419938
941	0.992759786
942	0.992669934
943	0.9925448577
944	0.9924744978
945	0.9923785045
946	0.9922996297
947	0.9922174824
948	0.992125614
949	0.9920511254
950	0.9919659091
951	0.991879562
952	0.9917760716
953	0.9916857366
954	0.9916037224
955	0.9915222654
956	0.9913911345
957	0.9913063313
958	0.9911717647
959	0.9910931793
960	0.9909554956
961	0.9908346943
962	0.9907357404
963	0.9906298602
964	0.9905282833
965	0.9904316222
966	0.9903503421
967	0.9902588859
968	0.9901555081
969	0.9900770806
970	0.9899802344
971	0.989860848
972	0.9897780234
973	0.9897049672
974	0.9896057121
975	0.9895265361
976	0.9894197001
977	0.9893271277
978	0.9892356407
979	0.9891699456
980	0.9890811869
981	0.9890067552
982	0.9889173791
983	0.9887879628
984	0.9887014804
985	0.9886161642
986	0.9885286042
987	0.9884311105
988	0.9883513755
989	0.988236962
990	0.9881719621
991	0.9880942529
992	0.9880260816
993	0.9879547341
994	0.9878396632
995	0.9877431548
996	0.9876411597
997	0.98755621
998	0.9874861892
999	0.9873787895
