Cd_pred,Cd_real,Lon,Lan
0.043198423,0.09531018,127.4929444,37.78494444
0.051033023,0.117783036,128.8732222,37.39688889
0.173656954,0.090754363,127.4912778,37.79886111
0.095945185,0.099845335,128.2741944,37.37088889
0.068245947,0.09531018,128.8113056,37.12930556
0.122092828,0.086177696,128.8538611,37.28227778
0.057976071,0.009950331,127.7793056,37.53511111
0.046975175,0.048790164,127.4768333,37.41897222
0.48005329,0.485507816,129.1113056,37.10536111
0.025051181,0.067658648,127.5049722,37.80488889
0.105202532,0.048790164,126.8784444,37.18222222
0.082608441,0.122217633,128.0929444,37.28225
0.203095781,0.019802627,128.0858611,37.27541667
0.061061094,0.117783036,127.7228611,37.43894444
0.351525124,0.096218858,127.7238056,37.43822222
0.125778157,0.081579987,128.8515278,37.46836111
0.100541879,0.157003749,128.8709722,37.39233333
0.268842058,0,128.8643056,37.28330556
0.668482076,0.725130226,129.1574722,37.114
0.361181357,0.160416721,127.7886111,37.52833333
0.220131674,0.21511138,128.0886389,37.25413889
0.061500444,0.004987542,127.4805833,37.414
0.061180729,0.009950331,127.7677778,37.51102778
0.160853408,0.148420005,128.0891389,37.27913889
0.141937705,0.182321557,126.8856111,37.18236111
0.102901871,0.072320662,128.79025,37.37416667
0.398164646,0.062974799,129.1556667,37.11197222
0.10152529,0.076961041,127.3996111,37.79708333
0.271104353,0.108854405,128.0866944,37.82308333
0.285173673,0.227135573,127.7878889,37.53127778
0.001525186,0.058268908,127.7591944,37.51363889
0.472120632,0.415415439,129.1545278,37.11141667
0.058042997,0.108854405,128.0798333,37.82875
0.118540877,0.076961041,128.8596944,37.28036111
0.078525611,0.029558802,128.2729167,37.37802778
0.119446956,0.067658648,126.8895556,37.18202778
0.393671487,0.375005901,128.8093333,37.12919444
0.109785037,0.067658648,128.8556389,37.46752778
0.074210196,0.131028262,128.8101667,37.12936111
0.242617497,0.202940844,127.7640833,37.51241667
0.097060268,0.09531018,126.8896667,37.18102778
0.041478506,0.039220713,127.4038056,37.78683333
0.214150082,0.242946179,127.78,37.42552778
