OBJECTID_x,ID,start_lon,start_lan,pH,As,Cd,Ni,Pb,Zn,Hg,Lon,Lan,lon_degree,lon_minute,lon_sec,lan_degree,lan_minute,lan_sec
1,KW-SK-S-36,128.4836,37.0751,7.63,17.46,0.48,1.65,91.1,,0,128.7810556,37.11447222,128,46,51.8,37,6,52.1
2,KW-SK-S-37,128.4836,37.0751,5.25,1.25,0.05,0.34,58.77,,0,128.7740833,37.11319444,128,46,26.7,37,6,47.5
3,KW-SK-S-66,128.4836,37.0751,7.72,1.39,0.07,0.59,92.43,,0,128.789,37.11986111,128,47,20.4,37,7,11.5
4,KW-SK-CS-03,128.4836,37.0751,8.41,6.07,0.105,1.14,2.75,,0,128.8464444,37.11238889,128,50,47.2,37,6,44.6
5,KW-YH-PS-01,129.0646,37.0629,8.3,32.7,3.7,1.1,4700,,0,129.1384167,37.10244444,129,8,18.3,37,6,8.8
6,KW-YH-PS-02,129.0646,37.0629,8.4,12.5,2.3,2,956,,0,129.1470833,37.10375,129,8,49.5,37,6,13.5
7,KW-YH-PS-03,129.0646,37.0629,7.6,4.7,1.2,6.7,260,,0,129.1557222,37.11155556,129,9,20.6,37,6,41.6
8,KW-YH-S-01,129.0646,37.0629,8.14,2.47,1.06,5.86,507.33,,0,129.1069444,37.11422222,129,6,25,37,6,51.2
9,KW-YH-S-02,129.0646,37.0629,8.04,1.62,7.125,53.72,3757.93,,0,129.1132778,37.11477778,129,6,47.8,37,6,53.2
10,KW-YH-S-03,129.0646,37.0629,7.94,1.38,2.55,2.85,5615.93,,0,129.114,37.11480556,129,6,50.4,37,6,53.3
11,KW-YH-S-04,129.0646,37.0629,7.55,1.58,21.005,29.5,13639.12,,0,129.1137778,37.11297222,129,6,49.6,37,6,46.7
12,KW-YH-S-05,129.0646,37.0629,7.38,4.42,41.785,44.87,21585.88,,0,129.1004444,37.11330556,129,6,1.6,37,6,47.9
13,KW-YH-S-06,129.0646,37.0629,3.99,3.47,4.865,34.18,1346.97,,0,129.1113056,37.10536111,129,6,40.7,37,6,19.3
14,KW-YH-S-07,129.0646,37.0629,5.36,1.24,0.625,17.26,946,,0,129.1113056,37.10536111,129,6,40.7,37,6,19.3
15,KW-YH-S-08,129.0646,37.0629,7.69,1.35,8.12,17.13,3925.86,,0,129.1121667,37.10638889,129,6,43.8,37,6,23
16,KW-YH-S-09,129.0646,37.0629,7.34,0.74,27.865,46.18,11591.26,,0,129.1130278,37.10813889,129,6,46.9,37,6,29.3
17,KW-YH-S-10,129.0646,37.0629,6.06,0.32,0.72,48.28,559.57,,0,129.1235,37.10138889,129,7,24.6,37,6,5
18,KW-YH-S-11,129.0646,37.0629,6.04,8.9,4.595,27.04,1165.6,,0,129.1254444,37.1035,129,7,31.6,37,6,12.6
19,KW-YH-S-12,129.0646,37.0629,7.55,75.13,5.26,24.06,1935.5,,0,129.1254444,37.1035,129,7,31.6,37,6,12.6
20,KW-YH-S-13,129.0646,37.0629,8.27,8.99,3.02,18.66,2683.5,,0,129.1242222,37.10927778,129,7,27.2,37,6,33.4
21,KW-YH-S-14,129.0646,37.0629,7.28,1.65,1.24,4.81,1756.06,,0,129.1508611,37.10875,129,9,3.1,37,6,31.5
22,KW-YH-S-15,129.0646,37.0629,7.37,6.1,0.87,5.01,714.77,,0,129.1508611,37.10875,129,9,3.1,37,6,31.5
23,KW-YH-S-16,129.0646,37.0629,4.5,10.69,0.215,9.71,337.5,,0,129.1435,37.11386111,129,8,36.6,37,6,49.9
24,KW-YH-S-17,129.0646,37.0629,5.45,10.56,11.01,82.4,1737.73,,0,129.1286944,37.10702778,129,7,43.3,37,6,25.3
25,KW-YH-S-18,129.0646,37.0629,8.05,16.47,6.735,17.49,8114.03,,0,129.1294722,37.10605556,129,7,46.1,37,6,21.8
26,KW-YH-S-19,129.0646,37.0629,7.97,5.37,2.685,20.3,2632.8,,0,129.13025,37.10463889,129,7,48.9,37,6,16.7
27,KW-YH-S-20,129.0646,37.0629,6.12,2.47,1.59,11.02,498.3,,0,129.1320556,37.10427778,129,7,55.4,37,6,15.4
28,KW-YH-S-21,129.0646,37.0629,6.32,2.23,1.585,11.35,421.73,,0,129.1320556,37.10427778,129,7,55.4,37,6,15.4
29,KW-YH-S-22,129.0646,37.0629,8.2,4.04,2.205,30.18,1021.73,,0,129.1332778,37.10305556,129,7,59.8,37,6,11
30,KW-YH-S-23,129.0646,37.0629,7.44,1.92,2.055,27.72,941.73,,0,129.1353611,37.10311111,129,8,7.3,37,6,11.2
31,KW-YH-S-24,129.0646,37.0629,7.78,0.35,0.02,6.4,87.9,,0,129.14075,37.10311111,129,8,26.7,37,6,11.2
32,KW-YH-S-25,129.0646,37.0629,8.2,2.83,0.605,25.08,406.87,,0,129.1445,37.10405556,129,8,40.2,37,6,14.6
33,KW-YH-S-26,129.0646,37.0629,8.22,1.47,0.145,14.13,230.93,,0,129.1464722,37.10377778,129,8,47.3,37,6,13.6
