OBJECTID_x,ID,pH,As,Cd,Ni,Pb,Zn,Hg,slope,altitude,profile_curve,profile_c_num,profile_c_abs,planform_curve,planform_c_num,planform_c_abs,HYDGRP,HYDGRP_A,HYDGRP_B,HYDGRP_C,HYDGRP_D,ANION_EXCL,SOL_CRK,SOL_K1,CLAY1,SILT1,SAND1,ROCK1,SOL_EC1,distance
605,GG-SSK-S-38,8.4,1.14,0.265,27.88,14.8,147.34,0,23.29229927,127.7900009,0.944306016,0.944306016,1,1.034729958,1.034729958,1,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,39.85830946
606,GG-SSK-S-39,8.38,0.08,0.275,27.95,20.3,199.19,0,23.29229927,127.7900009,0.944306016,0.944306016,1,1.034729958,1.034729958,1,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,39.85830946
607,GG-SSK-S-40,7.26,1.89,0.03,34.97,0.74,92.91,0,20.81299973,109.8460007,-0.302323014,0.302323014,0,-1.530719995,1.530719995,0,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,39.86965914
608,GG-SSK-S-41,8.44,2.3,0.075,37.76,2.16,153.69,0,32.80580139,106.4789963,1.326719999,1.326719999,1,1.519070029,1.519070029,1,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,39.82218637
609,GG-SSK-S-42,5.2,0.36,0.08,30.84,0.98,107.98,0,7.355249882,93.20459747,0.527545989,0.527545989,1,0.098652102,0.098652102,1,A,1,0,0,0,0.5,0.5,125.84,6.2,26.3,67.5,5.5,0,39.89577208
610,GG-SSK-S-43,8.34,2.11,0.15,25,1.88,168.53,0,1.044010043,95.56700134,0.405202001,0.405202001,1,0.0103956,0.0103956,1,A,1,0,0,0,0.5,0.5,38.16,6.6,19,74.4,8.2,0,39.85991435
611,GG-SSK-S-44,7.97,1.17,0.025,27.5,1.54,150.62,0,1.044010043,95.56700134,0.405202001,0.405202001,1,0.0103956,0.0103956,1,A,1,0,0,0,0.5,0.5,38.16,6.6,19,74.4,8.2,0,39.85991435
612,GG-SSK-S-45,6.71,0.88,0.025,27.54,0.61,75.07,0,0.558739007,92.5802002,0.0485989,0.0485989,1,-0.062271498,0.062271498,0,A,1,0,0,0,0.5,0.5,150.34,8.8,29.1,62.1,0.7,0,39.98574607
613,GG-SSK-S-46,5.75,0.25,0.105,29.54,2.94,76.11,0,2.279390097,92.49210358,-0.325785995,0.325785995,0,0.350392014,0.350392014,1,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,39.97879863
614,GG-SSK-S-47,5.95,0.35,0.155,28.08,2.4,90.24,0,1.263749957,89.73090363,0.372087002,0.372087002,1,-1.260540009,1.260540009,0,A,1,0,0,0,0.5,0.5,260,5.2,13.5,81.3,4.4,0,40.04624547
615,GG-SSK-S-48,6.42,0.36,0.105,25.18,5.36,113.8,0,1.050189972,88.4292984,0.128548995,0.128548995,1,0.0557344,0.0557344,1,A,1,0,0,0,0.5,0.5,125.84,6.2,26.3,67.5,5.5,0,40.15321353
616,GG-SSK-S-49,5.74,0.46,0.18,38.35,2.43,142.74,0,0.75988102,89.11959839,-0.079040699,0.079040699,0,0.087981999,0.087981999,1,A,1,0,0,0,0.5,0.5,63.91,11.2,41.9,46.9,0,0,40.12605594
617,GG-SSK-S-50,5.28,0.23,0.03,31.05,2.27,103.31,0,14.94330025,91.7276001,2.09713006,2.09713006,1,0.181631997,0.181631997,1,A,1,0,0,0,0.5,0.5,38.16,6.6,19,74.4,8.2,0,40.09718525
618,GG-SSK-S-51,5.27,0.24,0.055,28.96,0.77,95.23,0,14.94330025,91.7276001,2.09713006,2.09713006,1,0.181631997,0.181631997,1,A,1,0,0,0,0.5,0.5,38.16,6.6,19,74.4,8.2,0,40.09718525
619,GG-SSK-S-52,6.05,1.21,0.05,30.78,1.63,124.42,0,33.70349884,102.9110031,0.00831938,0.00831938,1,0.038928501,0.038928501,1,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,40.09275015
620,GG-SSK-S-53,6.44,2.01,0.065,32.59,1.76,138.03,0,19.53650093,123.3830032,-0.533408999,0.533408999,0,0.985267997,0.985267997,1,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,40.08693934
621,GG-SSK-S-54,6.26,0.9,0.01,31.93,0.76,112.3,0,32.42979813,111.4540024,-0.066018201,0.066018201,0,0.478994995,0.478994995,1,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,40.25627654
622,GG-SSK-S-55,6.85,0.68,0.135,26.46,2.42,108.38,0,2.821510077,85.71769714,0.063353501,0.063353501,1,0.0015554,0.0015554,1,A,1,0,0,0,0.5,0.5,125.84,6.2,26.3,67.5,5.5,0,40.29923223
623,GG-SSK-S-56,6.62,0.39,0.185,30.76,3.78,113.94,0,1.57652998,85.90329742,0.045638502,0.045638502,1,0.050521299,0.050521299,1,A,1,0,0,0,0.5,0.5,63.91,11.2,41.9,46.9,0,0,40.32501848
624,GG-SSK-S-57,6.87,0.36,0.02,29.48,0.96,104.18,0,0.00786552,85.00009918,0.00476947,0.00476947,1,-2.18E-05,0.000021787,0,A,1,0,0,0,0.5,0.5,125.84,6.2,26.3,67.5,5.5,0,40.33079679
625,GG-SSK-S-58,6.73,0.24,0.045,29.94,1.48,100.12,0,0.00786552,85.00009918,0.00476947,0.00476947,1,-2.18E-05,0.000021787,0,A,1,0,0,0,0.5,0.5,125.84,6.2,26.3,67.5,5.5,0,40.33079679
626,GG-SSK-S-59,6.33,0.55,0.065,22.06,2.68,107.04,0,2.146830082,84.20490265,0.098434597,0.098434597,1,-0.021316299,0.021316299,0,A,1,0,0,0,0.5,0.5,125.84,6.2,26.3,67.5,5.5,0,40.54322421
627,GG-SSK-S-60,6.24,0.46,0.065,24.99,1.61,103.71,0,18.86070061,93.22070313,2.977159977,2.977159977,1,2.291889906,2.291889906,1,A,1,0,0,0,0.5,0.5,68.05,12.9,40.7,46.4,38.3,0,40.59127906
628,GG-SSK-S-61,6.07,0.35,0.085,35.34,2.97,92.53,0,22.21619987,92.93139648,5.199669838,5.199669838,1,-0.892674029,0.892674029,0,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,40.64525523
629,GG-SSK-S-62,6.13,0.32,0.085,27.33,3.8,93.52,0,37.84349823,133.9259949,-3.163100004,3.163100004,0,0.381330013,0.381330013,1,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,40.8397113
630,GG-SSK-CS-1,6.06,0.14,0.19,24.9,4.39,102.03,0,17.99819946,176.2050018,-1.543030024,1.543030024,0,0.784786999,0.784786999,1,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,39.87263251
631,GG-SSK-CS-2,6.07,0.01,0.175,22,4.1,97.43,0,17.99819946,176.2050018,-1.543030024,1.543030024,0,0.784786999,0.784786999,1,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,39.87263251
632,GG-SSK-CS-3,5.44,0.01,0.235,11.87,5.96,269.1,0,25.89419937,122.8740005,-0.237481996,0.237481996,0,0.138952002,0.138952002,1,B,0,1,0,0,0.5,0.5,19.54,19.5,24.7,55.8,27.2,0,41.92554355
633,GG-DMD-PS-1,5.9,1.52,0.1,0.6,,,0,8.315369606,213.2870026,-0.0113999,0.0113999,0,0.00746,0.00746,1,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.47976404
634,GG-DMD-PS-2,5.7,1.52,0.2,2,,,0,10.47719955,188.0659943,-0.202105001,0.202105001,0,1.036599994,1.036599994,1,A,1,0,0,0,0.5,0.5,100.79,5.5,19.7,74.8,11.3,0,44.44989896
635,GG-DMD-PS-3,5.7,1.52,0.1,1.2,,,0,9.012269974,139.3329926,1.811439991,1.811439991,1,0.107455999,0.107455999,1,A,1,0,0,0,0.5,0.5,15.93,15,48,37,28,0,43.10995406
636,GG-DMD-S-1,6.2,1.17,0.03,0.74,,,0,33.81560135,419.7369995,0.045325398,0.045325398,1,-1.830279946,1.830279946,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.80780382
637,GG-DMD-S-2,5.45,2.77,0.04,2.08,,,0,34.6371994,407.4639893,0.511079013,0.511079013,1,-1.831449986,1.831449986,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.80561892
638,GG-DMD-S-3,3.91,3.81,0.02,6.77,,,0,31.61179924,393.8320007,0.964971006,0.964971006,1,-0.643427014,0.643427014,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.76917365
639,GG-DMD-S-4,4.21,2.24,0.585,3.16,,,0,26.38839912,379.0069885,-0.471792996,0.471792996,0,-2.23229003,2.23229003,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.77647746
640,GG-DMD-S-5,5,2.47,0.165,1.94,,,0,27.01910019,372.2999878,0.722432017,0.722432017,1,-1.744120002,1.744120002,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.77061543
641,GG-DMD-S-6,4.86,1.13,0.095,1.67,,,0,28.21500015,362.5230103,0.296211004,0.296211004,1,-1.318050027,1.318050027,0,B,0,1,0,0,0.5,0.5,43.15,6,45,50,58,0,44.76368623
