Ni_pred,Ni_real,Lon,Lan
3.175559232,3.311637305,127.7631389,37.51244444
3.405712687,3.470723444,126.8911944,37.18247222
0.232420671,0,127.7871667,37.53119444
1.517515971,1.413423029,127.7234722,37.43536111
1.460547007,1.682688374,127.4945556,37.80125
3.481301424,3.408834809,126.8918056,37.18297222
1.747797175,1.211940974,128.8501389,37.46983333
0.341197718,0,127.7876944,37.53027778
1.4933974,1.715598108,128.8601667,37.46694444
3.393073908,3.413455279,128.0818056,37.827
0.983114179,0.270027137,127.7248333,37.43436111
1.486326404,0,128.8078889,37.12677778
3.345424401,3.028199464,128.0795556,37.82908333
1.200466119,1.124929597,127.3045833,37.17505556
1.981399688,0.470003629,127.7242778,37.44325
2.9755947,2.753660712,127.77975,37.42544444
1.708468307,1.166270937,128.0983056,37.79752778
0.72696934,0.518793793,127.4853889,37.79761111
3.134575527,3.363495514,128.7863889,37.37255556
3.435693335,2.856470206,126.8948611,37.18327778
1.617985424,1.740466175,127.4902778,37.74288889
1.183626495,1.406096988,128.8532778,37.41186111
2.669990212,2.892037037,128.8574444,37.28016667
1.963551271,0.652325186,128.0936111,37.28202778
3.499061254,1.564440547,127.4908056,37.79877778
3.366458628,3.2820384,128.8553611,37.46786111
3.074502095,2.950211758,128.8663611,37.40719444
3.375962647,3.282789151,128.8734722,37.39633333
1.255547563,1.033184483,128.0901111,37.28002778
1.941375536,2.803360381,127.4906944,37.74222222
1.046033452,0.246860078,127.7273889,37.4335
0.992480143,0,128.8456944,37.28333333
3.109349316,3.2554006,128.7755833,37.37211111
3.405532685,3.517497837,128.7893611,37.37338889
3.017639983,2.990217093,127.77975,37.42544444
3.300401204,3.522529667,126.8716111,37.17444444
3.025765149,2.803360381,127.7484444,37.53386111
1.833181256,1.305626458,128.8382778,37.47602778
1.368195003,1.196948189,128.7925556,37.37411111
3.353666147,3.430756184,128.8708333,37.40019444
-0.091772659,0,128.0946667,37.28172222
2.208828409,2.373975089,129.1540278,37.1115
1.524898428,1.302912752,127.4783333,37.41880556
1.160660128,1.184789985,128.2739444,37.38211111
3.338139644,3.560477739,129.1132778,37.11477778
3.566138393,2.87525812,126.8926944,37.18297222
1.249159663,1.44926916,127.4766389,37.42016667
1.255412574,1.033184483,127.2894722,37.16227778
0.646191714,1.678963975,127.7559167,37.52652778
3.473814394,0.231111721,127.3978056,37.79813889
3.46298367,4.103799721,128.7925833,37.37525
1.547649769,0,127.7368611,37.43233333
1.856970308,1.635105659,127.7671389,37.42602778
1.98628919,2.208274414,128.0995833,37.79836111
3.356645711,3.579064588,128.8729444,37.39561111
2.75866932,3.034472102,127.7657778,37.40133333
1.320941558,1.098612289,127.4848056,37.79730556
3.483244034,3.260785228,128.8605278,37.40705556
3.51052057,3.73289634,128.08975,37.82202778
0.301463029,0.39877612,127.3018056,37.17330556
3.4310306,3.713572067,128.8560556,37.46752778
3.28867966,2.986691529,127.78825,37.52377778
3.509371493,3.730501129,127.7793889,37.42547222
0.968622162,0.746687947,128.8538889,37.28294444
1.879051194,2.081938422,126.8844444,37.18308333
2.283172393,0.329303747,128.0923333,37.27355556
1.837166174,0.476234179,127.7468889,37.42747222
1.935892558,1.456286733,128.8536944,37.46783333
0.289872183,0.067658648,128.0909444,37.28027778
1.15674103,1.805004696,127.3999444,37.79655556
1.912765485,1.047318994,129.1628333,37.12683333
2.30829859,3.17971911,127.7804444,37.42572222
1.057096986,0,127.4783333,37.41880556
1.726152474,1.504077397,127.4933056,37.73841667
1.788548776,2.010894999,126.8755556,37.18066667
1.475116602,1.342864803,127.7672778,37.51072222
1.57169713,1.291983682,127.5005278,37.80691667
2.35684694,1.728109442,127.7667222,37.42141667
1.718010737,1.940179474,128.1003611,37.79733333
3.970703965,4.192680463,129.1591389,37.11730556
3.332844605,3.700066644,127.2974167,37.17205556
3.463968496,3.510948246,128.8753333,37.39794444
3.503186826,3.050693832,128.8550833,37.28205556
2.890270893,3.112181086,127.7580278,37.51522222
1.474120777,1.32175584,127.4929444,37.78494444
2.872814837,3.095125017,127.7826389,37.4285
2.275424002,0.896088025,128.0923333,37.27355556
0.967101639,1.609437912,128.8711389,37.40102778
3.116147363,3.338257582,128.0819444,37.82755556
3.124342284,3.07130346,128.8610833,37.46702778
1.022643048,0,127.4768333,37.41897222
2.96026584,3.318902139,128.8633611,37.27966667
1.406937754,1.184789985,128.2730556,37.38047222
0.558609432,0.336472237,127.4003611,37.79911111
1.240872733,1.01884732,127.3987222,37.79616667
1.689742253,1.324418957,127.7230556,37.43430556
3.552939237,3.529297384,129.1664167,37.11816667
3.110905587,0,127.3972778,37.79755556
0.123611365,0.223143551,127.3014722,37.17286111
3.379010899,3.261935314,128.8553611,37.46786111
1.788332094,0.832909123,127.7276389,37.43394444
1.737085236,1.515127233,127.7247222,37.43388889
1.01182037,1.205970807,127.4829444,37.42372222
3.875734346,3.912023005,127.4923056,37.80063889
2.463013367,2.653945942,129.1353611,37.10311111
0.774844183,0,127.78925,37.52619444
2.343208205,0.662687973,128.8596944,37.46927778
2.789843921,3.012097628,128.2731111,37.37925
3.459619099,3.237501289,128.7934167,37.37366667
0.757252263,1.534714366,127.7672778,37.51072222
3.151544638,0.947789399,128.0891389,37.27913889
2.847431742,3.346389145,128.0810278,37.82744444
1.726306174,1.504077397,127.4906389,37.74272222
2.603966902,1.05431203,127.3752222,37.79727778
1.613682147,1.348073148,127.4912778,37.79886111
2.694935902,2.917230045,129.1242222,37.10927778
0.647229083,0,128.2733889,37.38052778
0.22221693,0,128.79725,37.12558333
3.352765883,3.11927646,128.8633611,37.27966667
1.724953674,1.521698998,128.0752222,37.82427778
2.358800495,3.064791809,127.7724722,37.42508333
3.727546533,3.505257052,126.8943333,37.18344444
2.50331612,3.258096538,127.7743889,37.42505556
2.889832129,2.950211758,127.7819444,37.42813889
1.519604186,1.297463147,127.4808611,37.42022222
2.601194353,2.90526037,127.7685,37.42641667
1.347027045,1.124929597,127.7884444,37.52875
3.611650938,3.449987546,128.8742222,37.39741667
1.188674691,1.410986974,128.8121111,37.13044444
1.567330287,1.202972304,127.723,37.43394444
1.619906558,1.842135677,128.0967778,37.80697222
2.412101225,1.960094784,128.8693611,37.39438889
0.515052514,0.292669614,128.7740833,37.11319444
2.85263537,3.937105786,128.0837778,37.82497222
1.446182228,0,127.3974722,37.79422222
1.792904078,1.124929597,127.3965278,37.79316667
3.03579391,3.257711849,127.3937222,37.76252778
0.911971621,1.121677562,128.8748056,37.39627778
2.444431654,4.131961426,127.4915833,37.80086111
1.357837106,2.050270164,127.3962222,37.79219444
1.468864217,1.342864803,128.2746944,37.38313889
2.91729621,3.114847754,128.2733333,37.37797222
2.591559949,3.101442728,128.2603056,37.36952778
3.185880956,2.963725477,127.7585278,37.51608333
1.872163627,2.094330154,128.2731944,37.38469444
2.826190499,2.486571929,129.1508611,37.10875
1.777595782,1.941615225,128.1003611,37.79855556
3.372602477,3.563882964,126.8884167,37.18052778
3.663052006,3.571502586,126.8898611,37.18280556
3.650637571,4.354655438,126.8898611,37.18247222
0.606665803,0.463734016,128.789,37.11986111
3.373554564,3.595392611,126.8886389,37.18097222
1.700207135,0.943905899,127.4898889,37.79825
1.693859001,0.418710335,127.4947222,37.73727778
1.168894,0.559615788,127.4873611,37.43013889
3.461736867,3.318902139,128.0798333,37.82875
2.400432937,0.182321557,128.8576389,37.467
3.451150729,3.26499576,127.7676944,37.51822222
1.896458136,1.247032294,129.1541667,37.11119444
3.809770305,3.850147602,127.4922778,37.80033333
0.544225036,0.322083499,128.8109444,37.13008333
3.460088852,3.681854839,126.8881389,37.18180556
3.276309679,3.054001182,126.8958889,37.18394444
3.396488191,3.700313832,126.8784444,37.18222222
0.935017155,1.465567542,128.8525556,37.28030556
2.898901429,2.98214032,128.8626944,37.2795
2.731544774,2.509599262,128.2737222,37.37594444
0.544720617,0.322083499,127.5051389,37.43425
2.412634201,2.916147794,128.8659444,37.27536111
1.348765507,1.931521412,127.7289167,37.43302778
1.346663942,1.560247668,128.8271667,37.48102778
0.222006879,0,127.7743889,37.53744444
3.225802991,3.399195379,128.8692222,37.40586111
2.385404772,1.202972304,127.2985833,37.17105556
1.931856073,0.067658648,127.4970278,37.73622222
2.962929748,3.176803048,127.7558611,37.51827778
3.429938704,3.392492941,128.2807222,37.35294444
0.421140369,0.198850859,127.7895556,37.52702778
2.082838769,0.385262401,127.3962222,37.79347222
3.908739841,4.08933202,128.7880556,37.37336111
1.91601188,1.693779061,128.8199167,37.46822222
1.231674223,1.101940079,128.2739722,37.38136111
2.583372666,1.793424749,129.1235,37.10138889
0.998324595,1.406096988,127.7804722,37.51227778
2.598761182,2.376764491,129.1545278,37.11141667
1.376158099,1.153731588,127.7723889,37.42502778
2.892400936,3.114847754,128.8565556,37.46775
0.872878439,1.235471471,127.4791389,37.41616667
3.18227602,3.298426104,127.4923056,37.80063889
2.238104149,1.01884732,128.2728056,37.37972222
2.951707689,0.470003629,128.1156111,37.28080556
3.21979548,2.950734908,127.7810278,37.42663889
1.61997129,1.960094784,127.7255278,37.4335
3.396420956,3.493776563,128.85975,37.40861111
2.546928937,3.241419789,127.7786111,37.42544444
1.019224925,1.118414916,127.7885556,37.52572222
2.567577204,3.328268202,128.2758056,37.36747222
2.927488172,3.149740086,127.7905,37.52405556
1.556736154,1.472472057,129.1568056,37.11491667
2.923107629,1.605429891,128.8635278,37.28330556
0.49137259,0.21511138,127.7793056,37.53511111
1.286250413,1.427916036,128.7865556,37.37225
1.204240175,1.474763009,127.4810278,37.41377778
0.838967316,1.061256502,128.8109722,37.13119444
3.588668371,3.157000421,126.8962778,37.18433333
3.261244267,3.216071898,128.7558611,37.36958333
2.756274012,2.978586115,129.1121667,37.10638889
1.564899261,1.566530411,127.4926944,37.79877778
3.57814927,3.762362231,128.8460278,37.47263889
3.131596832,2.644044871,129.1576667,37.11602778
0.755887112,1.118414916,128.8058056,37.12488889
2.9927622,2.846652051,127.7655278,37.5115
3.743750428,0.329303747,127.489,37.79925
3.556285465,3.417070731,127.396,37.76691667
1.667487524,0,127.4888889,37.43038889
2.243134209,1.291983682,127.4823333,37.42286111
3.579782547,3.282789151,128.8704722,37.40469444
0.703184397,0.858661619,128.8739167,37.39655556
3.20256544,2.980618636,128.7590556,37.37166667
0.694058095,0.916290732,127.7241111,37.43377778
1.611085008,1.388791241,127.3058333,37.16619444
3.319381484,3.541828511,127.4896389,37.79708333
1.095584563,0.620576488,128.8700833,37.39588889
1.394008016,1.427916036,127.4789444,37.41894444
1.352000732,1.921324674,127.4798889,37.41988889
2.937449651,1.068153081,128.8636389,37.28261111
1.575843577,0.625938431,127.4944444,37.73686111
2.435918367,2.089391873,129.1554722,37.11147222
2.100074744,2.301584593,126.8803889,37.18611111
1.964344411,2.024193067,128.8041111,37.12547222
1.33435885,1.111857515,127.7695278,37.42544444
1.34399354,1.121677562,128.8641389,37.28344444
3.408546199,3.208017082,127.7648889,37.51175
1.445853828,1.223775432,128.7928889,37.37355556
0.607539637,0.385262401,128.7962778,37.12538889
0.253584276,1.560247668,127.4850556,37.79880556
0.951621512,0.91228271,127.4835556,37.79786111
2.022096572,1.773255998,126.8810833,37.18669444
0.964105952,0.609765572,127.5004444,37.73386111
3.290463252,3.513036863,127.7666111,37.42086111
3.134966032,3.3127304,128.0852222,37.82363889
1.996521262,2.360854001,127.7735,37.42491667
1.581532687,1.368639426,127.5071111,37.81172222
1.593931878,1.532556868,128.8506389,37.46830556
3.51617678,3.210843653,128.8567222,37.46294444
1.144323295,1.022450928,128.8110833,37.13130556
1.221063421,0,128.7907222,37.37461111
1.717307461,1.160020917,128.8103333,37.12936111
1.983511735,2.514465452,128.7914444,37.375
2.360499348,3.021887231,127.7814444,37.42580556
3.153088151,3.47537678,128.8609444,37.40858333
1.462575618,1.335001067,127.4929722,37.79897222
0.960904767,1.223775432,127.7896111,37.52527778
1.849759682,1.16315081,128.8498611,37.46869444
2.956675501,1.184789985,129.1588611,37.13138889
1.436786979,1.214912744,128.2734722,37.38111111
1.720138113,0.993251773,127.4801944,37.42113889
3.524020879,3.746676553,128.8644722,37.28119444
0.760543944,1.795087259,128.8507778,37.46808333
3.376628182,3.599228232,128.7732222,37.37266667
3.221820281,3.579064588,127.793,37.52327778
3.015999117,1.850028377,128.8456944,37.28333333
1.98320676,1.761300262,128.0840833,37.82419444
3.361467866,3.606855619,128.09,37.82252778
2.804268689,2.994231147,128.2734167,37.38461111
2.62906923,2.406945108,127.7797222,37.42547222
0.991019594,1.430311247,127.4795,37.41522222
3.414233566,3.256942026,128.7838889,37.37291667
0.845547328,1.068153081,128.8766944,37.39680556
2.589959712,2.738902665,127.7738611,37.425
2.886196219,3.460723361,127.7560278,37.51802778
1.085143672,1.89761986,127.7593889,37.51347222
1.202917065,1.425515074,127.3955278,37.79225
0.66026582,0.438254931,128.8067222,37.12555556
1.706074331,1.483874689,127.3987222,37.79616667
1.338052035,1.560247668,129.1595278,37.11797222
3.039268718,3.261552099,128.8584444,37.43027778
1.269568106,1.047318994,128.87425,37.39725
1.640544019,1.418277407,127.7812778,37.51172222
3.188357789,3.410817625,127.7808889,37.42597222
1.292982324,1.381281819,128.0840833,37.82419444
3.119545181,3.341801172,126.8886667,37.18083333
3.505645406,3.540089381,128.8556389,37.46752778
3.561077073,3.532810268,126.8928056,37.18291667
1.677355935,1.193922468,128.8057222,37.12619444
0.342748527,0.565313809,128.8007222,37.126
2.162449528,1.940179474,128.819,37.12594444
3.111624752,3.333632062,129.1113056,37.10536111
0.864284851,0.641853886,128.0982778,37.28083333
1.487756823,1.492904096,127.7511944,37.42491667
3.119572962,3.661508257,128.0841667,37.82427778
1.69321817,1.915450942,127.3018889,37.17241667
0.221854861,0,127.7285278,37.43341667
1.5729473,1.795087259,129.1320556,37.10427778
3.320918362,3.098740024,128.8579444,37.46741667
0.891152991,1.029619417,128.7945833,37.12372222
2.122308595,1.931521412,126.8856111,37.18236111
3.289830153,2.723267167,126.8971667,37.18394444
2.587398659,2.809402695,128.275,37.36902778
3.127272043,3.349904087,128.8696111,37.39344444
2.62668085,1.088561953,127.7723611,37.42516667
2.008635365,1.786746927,127.4897778,37.79927778
0.77752132,0.858661619,128.8731667,37.39483333
1.782979145,2.005525859,127.2983333,37.17138889
1.342853885,0.693147181,128.8731389,37.39438889
3.098978218,3.321432413,128.2737222,37.37594444
0.692385026,0.470003629,128.8546111,37.28277778
2.053758899,2.000127735,127.4881944,37.80044444
1.890549411,2.112634509,128.8622778,37.27869444
3.587232887,3.499231122,126.8748611,37.18047222
1.620845628,1.398716881,127.7677778,37.51102778
3.101395895,3.072693315,128.8600278,37.47066667
3.244387154,3.021887231,126.8948889,37.18513889
1.809589489,1.495148766,127.49975,37.73605556
1.4949556,1.272565596,126.8950278,37.18616667
2.987320218,3.209633244,129.1559167,37.11233333
1.679386995,1.749199855,128.8515278,37.46836111
2.096576552,2.337952237,127.2969444,37.16916667
2.589951296,2.367436065,127.7876667,37.42458333
1.084912956,1.208960346,127.4821944,37.42294444
0.832002675,0.982078472,127.4793056,37.42091667
2.912047529,3.134189017,127.7683056,37.538
1.382379205,1.160020917,127.4788056,37.42102778
3.457409288,3.066656612,128.7637778,37.37172222
2.034332187,2.256541154,127.7692222,37.42622222
0.940329525,0.717839793,127.4017222,37.80188889
2.165155597,1.978239036,127.7686944,37.51105556
3.371070542,3.592919063,127.49075,37.74086111
3.099994344,2.877511642,127.7689722,37.51111111
1.914572026,0,127.4914444,37.74030556
2.969674536,1.150572028,128.8636111,37.28338889
2.20367211,0.604315967,128.0848056,37.25452778
3.603251305,3.825811309,129.1069444,37.11422222
1.378735625,1.156881197,128.863,37.27963889
2.721326219,2.498973907,128.7896389,37.37375
3.727703978,3.463232773,128.0818889,37.81338889
1.476097089,1.172482137,127.4783889,37.41725
3.320104402,3.337547355,128.7850278,37.37327778
2.441504561,0,128.8099167,37.13869444
1.82341214,1.601405741,128.0837222,37.82397222
1.62131437,1.798404012,129.1320556,37.10427778
1.499096261,1.754403683,127.7238056,37.43822222
3.087718203,2.865623588,127.782,37.42805556
0.740695905,0.518793793,127.4907778,37.74194444
2.441999743,1.848454813,127.4932222,37.80030556
2.988873251,2.766319109,127.7681111,37.51086111
1.464370118,0.631271777,127.4968056,37.80205556
3.893322875,2.470638678,126.8971667,37.18394444
3.400118523,3.622472522,128.07875,37.82919444
0.971833457,1.193922468,127.5000556,37.73572222
3.442472318,3.582685258,127.7574722,37.51816667
3.404678169,3.626738058,128.2741111,37.37477778
1.717071468,1.495148766,127.4776389,37.41855556
3.305895736,3.528417232,128.0795556,37.82908333
1.674407741,1.695615609,128.8093333,37.12919444
3.041801221,3.263849191,128.8704722,37.40469444
0.740890579,0.518793793,127.4872778,37.4285
1.360567794,1.410986974,128.8543889,37.46769444
1.888383654,1.796747011,128.8645278,37.28152778
1.448864559,1.226712291,127.4800833,37.41955556
1.702773673,0.90016135,127.7305,37.43261111
1.556195604,1.556037136,127.7236667,37.43527778
1.201131694,1.078409581,127.3961389,37.79086111
1.010777215,0.78845736,127.3970833,37.79402778
1.078967464,2.073171929,127.4776389,37.41855556
2.586754623,3.19047635,128.8560556,37.46752778
1.480559341,1.25846099,128.2742778,37.38413889
3.392812648,3.54731589,127.7672222,37.4195
1.920739575,2.403334996,128.0969167,37.80125
3.047590768,3.103240481,128.7874722,37.37327778
2.687820386,2.465553921,127.4888889,37.42625
2.017330256,1.795087259,127.5054444,37.73458333
1.456893794,1.678963975,127.4921111,37.74052778
3.21539,3.370738174,127.79,37.52477778
